Power_Rank,Team,Power_Rating,GP,Wins,Losses,Win_Pct,xG_Diff,Goal_Diff,xGF_per_game,xGA_per_game,GF_per_game,GA_per_game
1,brazil,58.07218658536584,82,58,24,0.7073170731707317,50.65269999999998,87,3.3229182926829264,2.70520243902439,3.3658536585365852,2.3048780487804876
2,thailand,57.52630487804878,82,50,32,0.6097560975609756,73.0752,46,3.59435243902439,2.703191463414634,3.5853658536585367,3.024390243902439
3,pakistan,47.86468536585364,82,49,33,0.5975609756097561,51.24139999999997,51,3.471992682926829,2.84709756097561,3.207317073170732,2.5853658536585367
4,netherlands,46.962300000000006,82,54,28,0.6585365853658537,40.69540000000001,69,2.9573,2.4610146341463417,2.9634146341463414,2.1219512195121952
5,peru,44.17278170731707,82,52,30,0.6341463414634146,29.616299999999995,78,2.9823158536585366,2.6211414634146344,3.1219512195121952,2.1707317073170733
6,china,37.511078048780504,82,47,35,0.573170731707317,34.93840000000003,46,3.120939024390244,2.694860975609756,2.9146341463414633,2.3536585365853657
7,uk,34.79487926829269,82,39,43,0.47560975609756095,36.31110000000001,33,3.3696646341463414,2.9268463414634147,2.975609756097561,2.573170731707317
8,panama,26.910145121951217,82,46,36,0.5609756097560976,16.061499999999995,42,3.1396975609756095,2.9438256097560975,3.1097560975609757,2.597560975609756
9,mexico,21.934387804878035,82,38,44,0.4634146341463415,41.19279999999998,-17,3.218993902439024,2.7166426829268295,2.8780487804878048,3.0853658536585367
10,guatemala,16.175292682926823,82,42,40,0.5121951219512195,22.877999999999986,-5,3.1181463414634143,2.839146341463415,2.817073170731707,2.8780487804878048
11,france,15.560167073170735,82,37,45,0.45121951219512196,32.5129,-24,3.251858536585366,2.855359756097561,2.9390243902439024,3.231707317073171
12,india,14.939260975609777,82,49,33,0.5975609756097561,1.40360000000004,28,2.9187304878048783,2.9016134146341463,2.6951219512195124,2.3536585365853657
13,serbia,14.820074390243903,82,41,41,0.5,13.113900000000001,5,3.381562195121951,3.2216365853658533,3.2804878048780486,3.2195121951219514
14,south_korea,6.465930487804864,82,39,43,0.47560975609756095,8.655899999999974,-14,3.1689902439024387,3.063430487804878,3.5121951219512195,3.682926829268293
15,new_zealand,5.251152439024377,82,40,42,0.4878048780487805,2.9332999999999743,-7,2.942251219512195,2.9064792682926828,2.6707317073170733,2.7560975609756095
16,iceland,5.005628048780473,82,46,36,0.5609756097560976,-18.61130000000003,29,2.8056390243902434,3.0326060975609757,2.902439024390244,2.548780487804878
17,morocco,3.0246963414634154,82,37,45,0.45121951219512196,5.8785000000000025,-20,3.042723170731707,2.9710341463414633,3.0365853658536586,3.2804878048780486
18,ethiopia,0.2054097560975423,82,43,39,0.524390243902439,-23.268200000000036,20,2.91975487804878,3.2035134146341466,3.2560975609756095,3.0121951219512195
19,philippines,-2.465157317073162,82,43,39,0.524390243902439,-22.54909999999998,12,2.6046963414634146,2.8796853658536583,2.4146341463414633,2.268292682926829
20,indonesia,-2.65278658536585,82,41,41,0.5,-22.437299999999993,11,2.632931707317073,2.9065573170731707,2.6951219512195124,2.5609756097560976
21,canada,-3.2438353658536716,82,36,46,0.43902439024390244,7.549699999999973,-43,2.9406573170731707,2.848587804878049,2.707317073170732,3.231707317073171
22,saudi_arabia,-3.660847560975615,82,39,43,0.47560975609756095,-12.002900000000011,-10,2.670301219512195,2.8166780487804877,2.3780487804878048,2.5
23,germany,-7.415567073170706,82,36,46,0.43902439024390244,-13.89489999999995,-21,2.915941463414635,3.0853914634146338,3.0853658536585367,3.341463414634146
24,singapore,-19.413102439024414,82,40,42,0.4878048780487805,-42.96380000000005,-14,3.1343987804878046,3.65834756097561,3.1097560975609757,3.2804878048780486
25,switzerland,-19.437878048780505,82,36,46,0.43902439024390244,-32.09000000000003,-28,2.503560975609756,2.8949024390243903,2.451219512195122,2.792682926829268
26,kazakhstan,-22.190897560975607,82,30,52,0.36585365853658536,-21.616199999999992,-55,2.558601219512195,2.822213414634146,2.3536585365853657,3.024390243902439
27,oman,-23.903674390243914,82,35,47,0.4268292682926829,-34.55550000000002,-42,2.987037804878049,3.408446341463415,2.9390243902439024,3.451219512195122
28,uae,-24.728364634146345,82,38,44,0.4634146341463415,-30.968700000000013,-48,2.5779926829268294,2.9556597560975613,2.4634146341463414,3.048780487804878
29,usa,-25.21827926829268,82,35,47,0.4268292682926829,-34.30449999999999,-47,3.0169853658536585,3.4353329268292683,2.926829268292683,3.5
30,vietnam,-27.812109756097573,82,39,43,0.47560975609756095,-46.23780000000002,-34,2.7533951219512196,3.3172707317073176,2.7195121951219514,3.1341463414634148
31,rwanda,-29.597434146341474,82,30,52,0.36585365853658536,-32.312400000000025,-63,2.729382926829268,3.123436585365854,2.4634146341463414,3.231707317073171
32,mongolia,-55.373414634146314,82,27,55,0.32926829268292684,-80.89799999999994,-65,2.2877926829268294,3.274353658536585,2.182926829268293,2.975609756097561
